epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.018,0.99227,2.06548,0.91343,0.99186,0.15394,0.73045,0.49303,1.1589,3.14898,0.82841,0.000409605,0.000409605,0.000409605
2,932.672,0.88844,1.14693,0.90395,0.95013,0.6735,0.90433,0.62428,1.08568,1.91144,0.84737,0.000809911,0.000809911,0.000809911
3,1478.78,0.91224,1.06011,0.91656,0.8238,0.77525,0.85502,0.61518,1.02514,1.37571,0.84452,0.00119372,0.00119372,0.00119372
4,1837.76,0.84903,0.92142,0.89867,0.88698,0.87204,0.92715,0.6468,1.02157,1.03323,0.84108,0.00117575,0.00117575,0.00117575
5,2190.83,0.80842,0.80398,0.8905,0.90894,0.89015,0.91929,0.67804,0.93053,0.8635,0.82672,0.001151,0.001151,0.001151
6,2558.58,0.79122,0.72751,0.89154,0.93171,0.89575,0.93365,0.65148,1.01067,0.8062,0.83535,0.00112625,0.00112625,0.00112625
7,3190.63,0.77556,0.69423,0.87883,0.90917,0.90657,0.93258,0.64055,1.03435,0.7489,0.84054,0.0011015,0.0011015,0.0011015
8,3629.16,0.74669,0.64245,0.87317,0.93,0.91667,0.94319,0.6906,0.87719,0.67695,0.82129,0.00107675,0.00107675,0.00107675
9,4024.46,0.73332,0.60798,0.87313,0.93938,0.91963,0.94789,0.69173,0.89583,0.6079,0.82764,0.001052,0.001052,0.001052
10,4399.9,0.73052,0.58208,0.87248,0.91946,0.92257,0.94166,0.71188,0.89877,0.60954,0.82207,0.00102725,0.00102725,0.00102725
11,4802.08,0.70775,0.56557,0.86953,0.92543,0.9245,0.94484,0.69688,0.86623,0.56041,0.82444,0.0010025,0.0010025,0.0010025
12,5174.58,0.69285,0.53505,0.86578,0.9291,0.89352,0.94476,0.71213,0.91087,0.55806,0.82002,0.00097775,0.00097775,0.00097775
13,5544.95,0.69202,0.54241,0.86109,0.92912,0.90404,0.95498,0.73458,0.85066,0.53347,0.81667,0.000953,0.000953,0.000953
14,6037.13,0.67834,0.51334,0.86133,0.92873,0.91793,0.94645,0.71935,0.87966,0.52316,0.8171,0.00092825,0.00092825,0.00092825
